site;dominio;ranking;readability
Bing;stack;Top3;0.3079
Google;stack;Top1;0.4117
Yahoo;stack;Top1;0.4117
Google;stack;Top3;0.8292
Yahoo;stack;Top2;0.7234
Bing;stack;Top3;0.7234
Yahoo;javat;Top1;0.9960
Yahoo;javat;Top5;0.9079
Bing;javat;Top3;0.9960
Google;javat;Top1;0.9079
Google;stack;Top2;0.9248
Yahoo;geeks;Top1;0.7377
Bing;geeks;Top2;0.7377
Yahoo;tuto;Top4;0.7591
Bing;tuto;Top4;0.7591
Google;tuto;Top3;0.7591
Yahoo;stack;Top2;0.6330
Bing;stack;Top2;0.6330
Google;stack;Top4;0.7570
Bing;geeks;Top2;0.8390
Yahoo;geeks;Top2;0.8390
Yahoo;javat;Top1;0.3491
Google;geeks;Top4;0.8390
Google;javat;Top2;0.3491
Google;stack;Top3;0.6162
Bing;javat;Top1;0.3491
Google;geeks;Top4;0.9355
Bing;stack;Top5;0.6445
Bing;stack;Top3;0.8167
Bing;stack;Top4;0.8000
Google;stack;Top1;0.6445
Yahoo;stack;Top1;0.7343
Yahoo;stack;Top4;0.6445
Bing;stack;Top1;0.7343
Bing;stack;Top5;0.7333
Google;stack;Top3;0.8105
Yahoo;stack;Top3;0.8105
Google;geeks;Top1;0.7775
Bing;stack;Top4;0.1443
Bing;stack;Top2;0.7384
Yahoo;stack;Top2;0.7384
Google;stack;Top2;0.7384
Google;stack;Top1;0.9654
Bing;stack;Top1;0.9654
Yahoo;stack;Top1;0.9654
Google;code;Top2;0.8519
Yahoo;code;Top5;0.8519
Bing;stack;Top1;0.8620
Bing;stack;Top4;0.3868
Google;geeks;Top4;0.7609
Google;stack;Top1;0.7013
Yahoo;stack;Top1;0.8620
Google;stack;Top1;0.9630
Bing;tuto;Top1;0.3798
Google;tuto;Top5;0.3798
Google;stack;Top1;0.6777
Google;stack;Top2;0.6656
Bing;stack;Top2;0.6656
Yahoo;tuto;Top1;0.3798
Yahoo;stack;Top2;0.6656
Yahoo;stack;Top1;0.7872
Bing;stack;Top1;0.7872
Google;javat;Top4;0.8737
Bing;geeks;Top1;0.8778
Yahoo;geeks;Top2;0.8778
Google;stack;Top5;0.8805
Bing;stack;Top4;0.8805
Yahoo;stack;Top4;0.8805
Google;geeks;Top2;0.8719
Yahoo;code;Top3;0.5604
Yahoo;geeks;Top1;0.7457
Bing;geeks;Top2;0.7457
Google;geeks;Top2;0.7457
Bing;code;Top5;0.5604
Google;javat;Top3;0.4568
Yahoo;stack;Top1;0.8046
Bing;stack;Top2;0.8046
Google;stack;Top2;0.6508
Bing;tuto;Top4;0.7042
Bing;tuto;Top1;0.7042
Yahoo;tuto;Top4;0.7042
Yahoo;stack;Top1;0.9150
Bing;stack;Top1;0.9150
Bing;stack;Top2;0.8046
Google;stack;Top3;0.6508
Yahoo;stack;Top2;0.8046
Google;code;Top2;0.5796
Google;geeks;Top5;0.6138
Bing;code;Top4;0.5796
Bing;geeks;Top5;0.6138
Yahoo;code;Top4;0.5796
Google;code;Top3;0.5796
Yahoo;geeks;Top5;0.6138
Google;stack;Top1;0.7777
Yahoo;stack;Top1;0.6853
Bing;stack;Top2;0.6853
Google;stack;Top3;0.6853
Google;stack;Top4;0.9290
Yahoo;javat;Top1;0.8131
Google;javat;Top2;0.8131
Bing;stack;Top3;0.9290
Yahoo;javat;Top4;0.8155
Yahoo;stack;Top2;0.9290
Bing;javat;Top2;0.8131
Bing;tuto;Top3;0.8054
Google;stack;Top1;0.9831
Google;tuto;Top5;0.5162
Google;tuto;Top4;0.8054
Bing;tuto;Top4;0.5162
Yahoo;tuto;Top3;0.8054
Yahoo;stack;Top1;0.8964
Bing;stack;Top1;0.8964
Yahoo;tuto;Top4;0.5162
Bing;stack;Top5;0.8947
Yahoo;geeks;Top5;0.7390
Google;javat;Top1;0.7739
Google;geeks;Top2;0.9139
Yahoo;geeks;Top1;0.9139
Bing;geeks;Top1;0.9139
Bing;stack;Top3;0.8716
Bing;geeks;Top5;0.7390
Yahoo;stack;Top2;0.8716
Google;code;Top4;0.7501
Google;stack;Top5;0.8716
Google;stack;Top1;0.8962
Bing;stack;Top3;0.8588
Yahoo;stack;Top3;0.6887
Yahoo;geeks;Top4;0.7493
Bing;geeks;Top5;0.7493
Google;stack;Top4;0.8540
Yahoo;stack;Top5;0.9119
Bing;stack;Top4;0.0117
Google;code;Top2;0.5523
Google;code;Top1;0.5523
Yahoo;stack;Top3;0.0064
Bing;stack;Top3;0.0064
Yahoo;stack;Top4;0.8617
Google;stack;Top2;0.3676
Bing;stack;Top2;0.3676
Yahoo;stack;Top2;0.3676
Google;stack;Top2;0.8276
Google;geeks;Top5;0.7116
Bing;stack;Top5;0.6901
Google;stack;Top1;0.8276
Yahoo;stack;Top5;0.6901
Bing;stack;Top1;0.7728
Google;stack;Top2;0.7728
Yahoo;stack;Top1;0.7728
Yahoo;javat;Top5;0.7983
Google;stack;Top1;0.7724
Yahoo;stack;Top1;0.7417
Bing;stack;Top1;0.7417
Google;code;Top3;0.8739
Google;geeks;Top5;0.7623
Yahoo;geeks;Top4;0.8063
Yahoo;geeks;Top3;0.7698
Google;stack;Top1;0.5187
Yahoo;stack;Top1;0.5187
Bing;geeks;Top2;0.7698
Yahoo;geeks;Top2;0.7623
Google;geeks;Top4;0.7698
Bing;geeks;Top3;0.8063
Bing;stack;Top1;0.5187
Google;code;Top4;0.8109
Google;stack;Top1;0.4155
Bing;stack;Top1;0.7965
Yahoo;stack;Top1;0.7965
Google;geeks;Top3;0.7017
Google;geeks;Top4;0.7581
Google;stack;Top1;0.8955
Yahoo;code;Top4;0.7207
Bing;stack;Top3;0.7793
Bing;stack;Top1;0.5642
Yahoo;stack;Top1;0.5642
Bing;geeks;Top4;0.7017
Yahoo;stack;Top3;0.3609
Bing;stack;Top5;0.3609
Google;stack;Top2;0.4621
Yahoo;stack;Top1;0.7380
Google;stack;Top1;0.7380
Bing;stack;Top2;0.8496
Yahoo;stack;Top1;0.8998
Bing;stack;Top1;0.8998
Google;stack;Top1;0.8757
Google;javat;Top4;0.0066
Bing;geeks;Top4;0.8864
Google;geeks;Top2;0.8864
Yahoo;geeks;Top4;0.8864
Yahoo;geeks;Top3;0.8943
Google;geeks;Top2;0.8943
Google;javat;Top3;0.0687
Bing;geeks;Top4;0.8943
Google;stack;Top1;0.8883
Yahoo;stack;Top5;0.6045
Yahoo;stack;Top1;0.6872
Yahoo;tuto;Top3;0.9257
Google;tuto;Top4;0.9257
Bing;stack;Top5;0.5663
Yahoo;geeks;Top4;0.9243
Google;stack;Top3;0.5663
Bing;stack;Top4;0.6532
Bing;tuto;Top2;0.9257
Bing;stack;Top1;0.6872
Bing;stack;Top1;0.5985
Yahoo;stack;Top1;0.5985
Google;stack;Top3;0.9419
Google;stack;Top4;0.8751
Bing;stack;Top2;0.0355
Bing;geeks;Top1;0.7102
Yahoo;code;Top4;0.9331
Yahoo;geeks;Top1;0.7102
Bing;tuto;Top5;0.8376
Google;geeks;Top2;0.7102
Yahoo;stack;Top2;0.7162
Bing;geeks;Top3;0.6862
Yahoo;geeks;Top4;0.8945
Google;javat;Top5;0.8506
Google;geeks;Top2;0.8945
Google;geeks;Top3;0.8830
Bing;geeks;Top3;0.8945
Google;tuto;Top2;0.9549
Yahoo;stack;Top5;0.6941
Yahoo;tuto;Top4;0.8986
Bing;tuto;Top4;0.8986
Bing;tuto;Top2;0.9549
Google;geeks;Top4;0.9344
Yahoo;tuto;Top2;0.9549
Bing;stack;Top4;0.8071
Google;stack;Top1;0.9531
Bing;stack;Top5;0.9531
Google;javat;Top1;0.6729
Yahoo;javat;Top1;0.6729
Bing;javat;Top1;0.6729
Google;stack;Top1;0.9531
Yahoo;stack;Top1;0.8993
Yahoo;geeks;Top5;0.9243
Google;stack;Top1;0.8993
Bing;geeks;Top4;0.9243
Bing;stack;Top1;0.8993
Google;javat;Top1;0.8188
Yahoo;javat;Top5;0.8188
Google;stack;Top2;0.5255
Yahoo;javat;Top1;0.8507
Google;javat;Top4;0.8892
Bing;code;Top5;0.8236
Yahoo;javat;Top2;0.8892
Bing;javat;Top1;0.8507
Bing;javat;Top2;0.8892
Yahoo;code;Top5;0.8236
Google;javat;Top3;0.8507
Google;geeks;Top2;0.8948
Google;geeks;Top4;0.8733
Bing;geeks;Top2;0.8733
Yahoo;tuto;Top4;0.6590
Yahoo;geeks;Top1;0.8733
Google;geeks;Top5;0.5875
Google;code;Top4;0.6414
Bing;stack;Top2;0.8578
Google;stack;Top1;0.8578
Yahoo;stack;Top2;0.8578
Google;geeks;Top3;0.8733
Yahoo;geeks;Top1;0.8733
Bing;geeks;Top1;0.8733
Google;stack;Top2;0.9252
Bing;stack;Top3;0.6631
Yahoo;stack;Top2;0.6631
Yahoo;geeks;Top3;0.7366
Bing;geeks;Top2;0.7366
Bing;geeks;Top2;0.9264
Bing;stack;Top4;0.6631
Yahoo;stack;Top3;0.2806
Yahoo;stack;Top4;0.9536
Bing;stack;Top1;0.8001
Bing;stack;Top3;0.9456
Yahoo;stack;Top1;0.8001
Yahoo;stack;Top3;0.9456
Google;stack;Top1;0.8001
Bing;stack;Top4;0.9536
Yahoo;stack;Top2;0.9981
Bing;stack;Top2;0.9981
Yahoo;stack;Top1;0.4333
Google;stack;Top1;0.4333
Bing;stack;Top1;0.4333
Yahoo;stack;Top5;0.5628
Bing;stack;Top2;0.0065
Yahoo;stack;Top1;0.6326
Google;stack;Top5;0.7469
Bing;stack;Top1;0.6326
Yahoo;stack;Top5;0.8347
Google;stack;Top3;0.5290
Google;tuto;Top1;0.6143
Bing;tuto;Top2;0.6143
Yahoo;tuto;Top1;0.6143
Google;stack;Top3;0.5924
Bing;stack;Top1;0.7787
Bing;tuto;Top5;0.7046
Yahoo;stack;Top1;0.7787
Yahoo;geeks;Top5;0.8733
Yahoo;tuto;Top2;0.6590
Bing;tuto;Top4;0.6590
Bing;geeks;Top5;0.8733
Google;geeks;Top4;0.8733
Bing;geeks;Top2;0.4479
Yahoo;geeks;Top2;0.4479
Yahoo;tuto;Top1;0.6245
Google;geeks;Top1;0.4479
Google;code;Top3;0.7216
Bing;tuto;Top1;0.6245
Bing;code;Top5;0.8060
Google;stack;Top5;0.6306
Yahoo;stack;Top3;0.6854
Yahoo;stack;Top5;0.2814
Bing;stack;Top3;0.2814
Google;stack;Top2;0.9646
Google;geeks;Top5;0.9366
Yahoo;code;Top1;0.9460
Yahoo;code;Top3;0.9460
Yahoo;code;Top4;0.8463
Bing;code;Top3;0.9460
Bing;code;Top1;0.9460
Bing;code;Top4;0.8463
Google;stack;Top2;0.7787
Yahoo;geeks;Top1;0.8945
Google;geeks;Top1;0.8945
Bing;geeks;Top2;0.8945
Yahoo;stack;Top3;0.6594
Google;stack;Top3;0.8220
Yahoo;tuto;Top5;0.6604
Bing;tuto;Top5;0.6082
Google;javat;Top1;0.0066
Yahoo;tuto;Top3;0.6082
Google;stack;Top2;0.6275
Yahoo;tuto;Top3;0.8185
Bing;geeks;Top2;0.9611
Bing;tuto;Top3;0.8185
Google;tuto;Top4;0.8185
Google;javat;Top1;0.9197
Yahoo;geeks;Top2;0.9611
Google;geeks;Top2;0.9611
Bing;stack;Top2;0.6080
Yahoo;stack;Top1;0.6080
Google;stack;Top1;0.6080
Yahoo;stack;Top3;0.8677
Bing;stack;Top3;0.8677
Google;stack;Top3;0.8677
Yahoo;stack;Top1;0.8130
Google;stack;Top1;0.5651
Bing;stack;Top1;0.8130
Bing;javat;Top5;0.7298
Yahoo;javat;Top5;0.7298
Google;javat;Top4;0.7298
Google;code;Top5;0.9090
Yahoo;stack;Top5;0.8163
Google;stack;Top2;0.6218
Bing;stack;Top4;0.8163
Google;stack;Top1;0.7564
Yahoo;geeks;Top3;0.9243
Google;javat;Top1;0.8737
Bing;geeks;Top3;0.9243
Google;geeks;Top5;0.9243
Yahoo;code;Top1;0.8479
Google;geeks;Top2;0.7938
Yahoo;geeks;Top2;0.7938
Bing;javat;Top5;0.7672
Google;stack;Top4;0.8468
Bing;code;Top1;0.8479
Bing;geeks;Top2;0.7938
Yahoo;javat;Top4;0.7672
Google;code;Top3;0.8479
Yahoo;tuto;Top3;0.6731
Yahoo;stack;Top1;0.4714
Yahoo;tuto;Top2;0.5207
Bing;stack;Top4;0.8940
Bing;tuto;Top1;0.5207
Yahoo;stack;Top4;0.2907
Bing;tuto;Top3;0.6731
Bing;stack;Top2;0.7239
Bing;stack;Top5;0.6580
Yahoo;stack;Top5;0.5824
Bing;stack;Top4;0.5583
Yahoo;stack;Top3;0.8822
Bing;stack;Top3;0.5375
Bing;stack;Top2;0.7498
Yahoo;stack;Top5;0.7576
Google;geeks;Top3;0.7131
Google;stack;Top1;0.7740
Bing;geeks;Top1;0.7131
Yahoo;geeks;Top1;0.7131
Bing;stack;Top5;0.7576
Google;code;Top5;0.5763
Bing;stack;Top2;0.9997
Yahoo;stack;Top1;0.7198
Bing;stack;Top4;0.9395
Bing;stack;Top1;0.7198
Yahoo;stack;Top2;0.9997
Yahoo;stack;Top5;0.9395
Yahoo;code;Top4;0.9292
Google;stack;Top1;0.9288
Bing;code;Top5;0.9292
Bing;geeks;Top2;0.7377
Yahoo;stack;Top1;0.6212
Google;geeks;Top1;0.8080
Yahoo;geeks;Top3;0.7377
Bing;stack;Top1;0.6212
Google;stack;Top3;0.7590
Yahoo;geeks;Top5;0.7386
Yahoo;stack;Top1;0.9907
Bing;geeks;Top2;0.7173
Google;stack;Top1;0.9907
Bing;stack;Top1;0.9907
Google;geeks;Top3;0.7173
Yahoo;geeks;Top3;0.7173
Yahoo;stack;Top1;0.8077
Google;stack;Top1;0.8077
Bing;stack;Top1;0.8077
Bing;geeks;Top3;0.9370
Google;geeks;Top2;0.9370
Yahoo;geeks;Top1;0.9370
Bing;tuto;Top5;0.4932
Yahoo;tuto;Top4;0.4932
Google;javat;Top5;0.4568
Yahoo;tuto;Top1;0.5712
Google;geeks;Top3;0.7457
Bing;javat;Top4;0.9465
Yahoo;javat;Top3;0.9465
Yahoo;geeks;Top4;0.7457
Bing;geeks;Top5;0.7457
Google;geeks;Top2;0.5442
Bing;tuto;Top2;0.5712
Yahoo;javat;Top1;0.7389
Yahoo;geeks;Top4;0.9737
Bing;javat;Top1;0.7389
Bing;geeks;Top4;0.9737
Bing;geeks;Top3;0.8878
Google;geeks;Top2;0.8878
Google;javat;Top4;0.9915
Yahoo;geeks;Top3;0.8878
Bing;stack;Top2;0.8068
Google;code;Top2;0.9680
Bing;geeks;Top3;0.9058
Yahoo;stack;Top2;0.8068
Yahoo;geeks;Top3;0.9058
Google;geeks;Top5;0.9058
Google;stack;Top1;0.7917
Yahoo;code;Top4;0.5659
Yahoo;code;Top1;0.9680
Bing;code;Top1;0.9680
Google;stack;Top2;0.6496
Yahoo;stack;Top5;0.8300
Google;javat;Top4;0.1128
Google;stack;Top5;0.7857
Yahoo;stack;Top5;0.7857
Bing;stack;Top5;0.7857
Google;stack;Top4;0.7955
Google;geeks;Top1;0.8936
Yahoo;javat;Top5;0.8621
Bing;javat;Top5;0.8621
Yahoo;stack;Top3;0.5713
Bing;stack;Top5;0.5713
Google;stack;Top5;0.7857
Bing;stack;Top1;0.3170
Bing;stack;Top4;0.8335
Yahoo;stack;Top5;0.7856
Yahoo;stack;Top1;0.3170
Bing;stack;Top5;0.7856
Yahoo;stack;Top3;0.6051
Bing;stack;Top3;0.6051
Google;stack;Top1;0.8002
Yahoo;stack;Top4;0.8335
Yahoo;stack;Top1;0.9973
Bing;stack;Top1;0.9973
Bing;geeks;Top2;0.8785
Google;stack;Top1;0.3958
Google;geeks;Top3;0.8785
Yahoo;geeks;Top2;0.8785
Google;stack;Top2;0.8063
Yahoo;stack;Top1;0.7297
Google;stack;Top3;0.6073
Yahoo;geeks;Top1;0.8765
Bing;geeks;Top3;0.9537
Bing;tuto;Top1;0.6113
Yahoo;geeks;Top4;0.8802
Yahoo;stack;Top2;0.7559
Google;geeks;Top1;0.8765
Yahoo;geeks;Top3;0.9537
Bing;geeks;Top5;0.9236
Bing;stack;Top2;0.7559
Yahoo;code;Top3;0.9460
Bing;code;Top2;0.9460
Google;stack;Top2;0.9646
Google;geeks;Top5;0.9366
Bing;code;Top4;0.9460
Yahoo;code;Top1;0.9460
Bing;geeks;Top5;0.8105
Bing;stack;Top3;0.8353
Google;stack;Top2;0.7221
Yahoo;stack;Top5;0.8353
Yahoo;geeks;Top4;0.7131
Google;code;Top3;0.8604
Yahoo;stack;Top2;0.8197
Bing;stack;Top2;0.8197
Bing;javat;Top2;0.0066
Bing;tuto;Top1;0.6626
Google;javat;Top1;0.0066
Bing;geeks;Top5;0.8883
Google;geeks;Top3;0.8883
Google;tuto;Top5;0.6626
Google;stack;Top2;0.8220
Yahoo;tuto;Top2;0.6626
Yahoo;javat;Top1;0.0066
Bing;stack;Top1;0.5504
Google;code;Top3;0.7872
Yahoo;code;Top4;0.7872
Google;code;Top2;0.7872
Google;stack;Top1;0.5504
Bing;code;Top2;0.7872
Yahoo;code;Top2;0.7872
Bing;code;Top4;0.7872
Google;geeks;Top5;0.7912
Yahoo;stack;Top1;0.5504
Yahoo;geeks;Top1;0.8785
Google;geeks;Top3;0.8785
Bing;geeks;Top1;0.8785
Google;stack;Top1;0.3958
Bing;geeks;Top4;0.5939
Google;stack;Top4;0.6533
Yahoo;javat;Top3;0.8780
Bing;javat;Top3;0.8780
Yahoo;geeks;Top4;0.5939
Google;geeks;Top5;0.5939
Bing;tuto;Top1;0.7219
Yahoo;tuto;Top1;0.7219
Yahoo;geeks;Top2;0.8454
Bing;geeks;Top3;0.8454
Google;tuto;Top2;0.7079
Yahoo;javat;Top3;0.7573
Google;javat;Top1;0.7573
Yahoo;tuto;Top2;0.7079
Bing;javat;Top3;0.7573
Bing;stack;Top4;0.9341
Bing;tuto;Top1;0.7079
Bing;stack;Top1;0.3884
Yahoo;stack;Top1;0.3884
Google;geeks;Top3;0.8785
Yahoo;geeks;Top2;0.8785
Bing;geeks;Top2;0.8785
Google;stack;Top1;0.3958
Google;geeks;Top4;0.6203
Bing;stack;Top4;0.9228
Bing;stack;Top2;0.7913
Google;stack;Top1;0.9228
Yahoo;geeks;Top2;0.6203
Google;code;Top2;0.8666
Bing;geeks;Top3;0.6203
Yahoo;stack;Top1;0.7913
Yahoo;stack;Top4;0.7840
Yahoo;stack;Top5;0.9365
Google;code;Top3;0.7939
Yahoo;stack;Top2;0.3975
Google;code;Top5;0.9235
Yahoo;javat;Top1;0.7923
Bing;javat;Top2;0.7923
Bing;stack;Top3;0.3975
Yahoo;stack;Top1;0.2123
Bing;stack;Top1;0.2123
Yahoo;geeks;Top3;0.8092
Yahoo;code;Top2;0.8276
Google;geeks;Top3;0.8936
Bing;javat;Top5;0.9374
Bing;geeks;Top3;0.8092
Google;stack;Top4;0.7955
Bing;stack;Top4;0.9883
Yahoo;stack;Top4;0.9883
Bing;code;Top2;0.8276
Bing;geeks;Top5;0.8988
Google;geeks;Top1;0.8936
Yahoo;stack;Top4;0.8937
Google;stack;Top4;0.7955
Bing;stack;Top5;0.8937
Yahoo;geeks;Top2;0.7763
Google;geeks;Top1;0.7763
Bing;geeks;Top2;0.7763
Google;stack;Top2;0.4591
Google;geeks;Top3;0.8720
Bing;geeks;Top1;0.8720
Yahoo;geeks;Top1;0.8720
Google;code;Top5;0.6574
Bing;stack;Top4;0.9679
Yahoo;stack;Top5;0.9679
Yahoo;geeks;Top2;0.9243
Google;javat;Top2;0.8737
Google;javat;Top1;0.8737
Google;geeks;Top5;0.9243
Bing;geeks;Top1;0.9243
Google;stack;Top1;0.5697
Bing;geeks;Top4;0.9243
Google;javat;Top4;0.8737
Yahoo;geeks;Top3;0.9243
Google;stack;Top1;0.7961
Yahoo;stack;Top1;0.7961
Bing;stack;Top5;0.6702
Bing;stack;Top3;0.7961
Bing;stack;Top4;0.9883
Google;geeks;Top1;0.8936
Yahoo;code;Top4;0.8276
Bing;geeks;Top3;0.8092
Google;stack;Top3;0.7955
Yahoo;geeks;Top2;0.8092
Bing;code;Top2;0.8276
Bing;code;Top1;0.8276
Bing;javat;Top5;0.9374
Yahoo;code;Top3;0.8276
Yahoo;code;Top1;0.8276
Yahoo;stack;Top5;0.9883
Google;tuto;Top1;0.5147
Google;code;Top3;0.8120
Google;stack;Top2;0.8928
Bing;tuto;Top2;0.5147
Bing;stack;Top1;0.8928
Yahoo;tuto;Top1;0.5147
Google;stack;Top3;0.4948
Google;geeks;Top5;0.7547
Bing;stack;Top3;0.4948
Google;stack;Top1;0.8914
Bing;geeks;Top5;0.8813
Google;code;Top5;0.4131
Google;geeks;Top2;0.8813
Yahoo;stack;Top1;0.8914
Bing;stack;Top1;0.8914
Bing;javat;Top3;0.8965
Yahoo;geeks;Top2;0.9297
Bing;geeks;Top2;0.9297
Yahoo;javat;Top3;0.8965
Google;javat;Top4;0.8965
Google;stack;Top1;0.8516
Google;geeks;Top2;0.9297
Bing;geeks;Top4;0.7645
Yahoo;geeks;Top4;0.7645
Bing;geeks;Top1;0.8733
Yahoo;geeks;Top1;0.8733
Google;geeks;Top2;0.8733
Google;stack;Top1;0.8895
Google;stack;Top2;0.8151
Yahoo;stack;Top3;0.6403
Bing;stack;Top3;0.8151
Google;javat;Top1;0.8131
Google;geeks;Top4;0.7282
Bing;geeks;Top5;0.3915
Yahoo;javat;Top4;0.8131
Yahoo;geeks;Top1;0.7282
Yahoo;geeks;Top5;0.3915
Bing;stack;Top3;0.7730
Google;code;Top2;0.5581
Bing;geeks;Top1;0.7282
Yahoo;stack;Top2;0.7730
Bing;javat;Top4;0.8131
Google;geeks;Top1;0.8936
Bing;tuto;Top3;0.5712
Google;stack;Top4;0.7955
Yahoo;tuto;Top3;0.5712
Bing;tuto;Top5;0.5712
Yahoo;stack;Top4;0.9499
Yahoo;stack;Top1;0.9567
Bing;stack;Top2;0.9567
Bing;stack;Top1;0.6151
Google;stack;Top2;0.7448
Yahoo;stack;Top1;0.6151
Bing;geeks;Top4;0.8978
Yahoo;geeks;Top5;0.8978
Bing;geeks;Top1;0.8195
Yahoo;geeks;Top1;0.8195
Yahoo;javat;Top4;0.9668
Google;tuto;Top5;0.8243
Google;geeks;Top4;0.7457
Google;geeks;Top3;0.8195
Bing;javat;Top4;0.9465
Google;stack;Top1;0.8600
Yahoo;geeks;Top2;0.9053
Bing;geeks;Top2;0.7457
Bing;geeks;Top2;0.9246
Yahoo;code;Top1;0.3083
Yahoo;geeks;Top2;0.9246
Bing;code;Top1;0.3083
Bing;tuto;Top1;0.7219
Google;stack;Top3;0.7579
Yahoo;tuto;Top1;0.7219
Bing;code;Top5;0.7268
Yahoo;stack;Top1;0.5428
Yahoo;code;Top5;0.7268
Google;tuto;Top1;0.7298
Bing;tuto;Top2;0.7298
Yahoo;tuto;Top2;0.7298
Google;stack;Top3;0.9343
Bing;stack;Top1;0.5428
Google;code;Top2;0.9318
Yahoo;stack;Top1;0.7270
Bing;stack;Top1;0.7270
Google;geeks;Top5;0.8054
Yahoo;tuto;Top4;0.3875
Google;stack;Top3;0.7114
Bing;tuto;Top3;0.3875
Bing;tuto;Top2;0.5712
Bing;stack;Top3;0.9499
Yahoo;tuto;Top3;0.5712
Google;stack;Top4;0.7955
Google;geeks;Top1;0.8936
Yahoo;stack;Top4;0.9499
Bing;tuto;Top1;0.8100
Yahoo;tuto;Top1;0.8100
Yahoo;stack;Top5;0.4841
Bing;stack;Top5;0.4841
Yahoo;stack;Top3;0.9085
Bing;geeks;Top5;0.7017
Bing;stack;Top3;0.9085
Yahoo;stack;Top5;0.1316
Google;code;Top5;0.4373
Google;stack;Top1;0.4621
Google;code;Top4;0.7375
Google;geeks;Top3;0.7017
Bing;geeks;Top1;0.9545
Yahoo;geeks;Top1;0.9545
Yahoo;javat;Top2;0.8758
Google;geeks;Top2;0.9545
Google;javat;Top1;0.8758
Bing;javat;Top2;0.8758
Bing;stack;Top5;0.8533
Yahoo;stack;Top3;0.8533
Bing;stack;Top3;0.7999
Yahoo;stack;Top3;0.7999
Bing;stack;Top5;0.3115
Bing;stack;Top3;0.8561
Yahoo;stack;Top3;0.9494
Bing;stack;Top1;0.9494
Yahoo;javat;Top1;0.3991
Yahoo;stack;Top3;0.6843
Google;geeks;Top1;0.7783
Bing;stack;Top2;0.6843
Google;stack;Top4;0.1743
Bing;javat;Top3;0.3991
Google;javat;Top3;0.3991
Google;stack;Top5;0.6744
Yahoo;stack;Top2;0.3661
Bing;stack;Top1;0.3661
Bing;stack;Top5;0.7336
Bing;stack;Top1;0.7145
Yahoo;stack;Top1;0.6976
Google;stack;Top1;0.9074
Yahoo;stack;Top5;0.5741
Bing;stack;Top1;0.6822
Yahoo;tuto;Top5;0.3986
Yahoo;stack;Top1;0.6822
Bing;tuto;Top5;0.3986
Google;stack;Top1;0.6822
Google;stack;Top2;0.7686
Google;geeks;Top2;0.8584
Google;javat;Top4;0.9706
Google;geeks;Top2;0.9169
Bing;code;Top4;0.7260
Yahoo;code;Top5;0.7260
Google;javat;Top4;0.6930
Yahoo;code;Top4;0.6657
Google;geeks;Top1;0.9549
Bing;stack;Top1;0.8939
Bing;geeks;Top3;0.9549
Google;stack;Top2;0.4906
Yahoo;javat;Top1;0.6930
Bing;javat;Top2;0.6930
Yahoo;geeks;Top2;0.9549
Yahoo;javat;Top4;0.7990
Bing;tuto;Top4;0.4489
Yahoo;geeks;Top5;0.7757
Bing;stack;Top2;0.7609
Yahoo;stack;Top1;0.7609
Yahoo;tuto;Top3;0.4489
Bing;geeks;Top5;0.7757
Bing;stack;Top3;0.7462
Yahoo;stack;Top5;0.4236
Yahoo;code;Top2;0.6296
Yahoo;stack;Top1;0.6433
Bing;stack;Top1;0.6433
Bing;code;Top2;0.6296
Google;stack;Top1;0.6433
Yahoo;stack;Top4;0.7462
Google;geeks;Top3;0.8093
Google;tuto;Top5;0.7887
Bing;geeks;Top5;0.6522
Bing;stack;Top4;0.4236
Google;code;Top2;0.6296
Yahoo;geeks;Top2;0.6933
Bing;geeks;Top3;0.6933
Google;geeks;Top1;0.6933
Bing;tuto;Top1;0.9307
Yahoo;tuto;Top1;0.9307
Google;javat;Top2;0.1152
Google;tuto;Top5;0.9307
Yahoo;stack;Top2;0.3542
Bing;stack;Top2;0.3542
Google;geeks;Top2;0.8947
Google;stack;Top1;0.9003
Yahoo;stack;Top5;0.7964
Bing;geeks;Top5;0.8947
Yahoo;stack;Top1;0.9003
Bing;stack;Top2;0.9209
Bing;stack;Top1;0.5951
Yahoo;stack;Top1;0.5951
Google;stack;Top1;0.8128
Yahoo;stack;Top1;0.9629
Bing;stack;Top2;0.9629
Yahoo;geeks;Top1;0.7457
Google;geeks;Top2;0.5442
Bing;tuto;Top5;0.4165
Google;javat;Top5;0.4568
Yahoo;tuto;Top4;0.4165
Bing;geeks;Top2;0.7457
Yahoo;geeks;Top5;0.7866
Google;geeks;Top1;0.7457
Yahoo;geeks;Top5;0.8719
Google;stack;Top3;0.8534
Yahoo;stack;Top3;0.8534
Bing;javat;Top2;0.9646
Google;javat;Top2;0.9646
Bing;stack;Top3;0.8534
Yahoo;javat;Top1;0.9646
Google;javat;Top2;0.7560
Bing;tuto;Top2;0.1037
Google;javat;Top1;0.9254
Bing;javat;Top3;0.9254
Yahoo;javat;Top3;0.9254
Yahoo;tuto;Top2;0.1037
Bing;geeks;Top1;0.8509
Google;geeks;Top1;0.8509
Yahoo;geeks;Top1;0.8509
Bing;stack;Top2;0.8782
Yahoo;stack;Top2;0.8782
Google;stack;Top3;0.8782
Google;stack;Top2;0.8883
Google;geeks;Top3;0.8943
Bing;code;Top4;0.9131
Bing;stack;Top5;0.5500
Yahoo;code;Top3;0.9131
Google;stack;Top1;0.8077
